greek,gothic
martureo,maurnan
narke,atsnarpjan
neho,ne4la
apeileo,spill
stigme,stiks
koluo,halba
sfallo,spilda
geoponeo,spinnan
deiknunai,ataugjan
allos,alls
omeros,garedan
pistis,usbeisns
falos,bala
ferein,barn
fane,bandwa
dios,tyz
dektos,taihswa
epieimi,jer
ieros,eisarn
eis,innuma
elafos,inkil4o
gonos,kno4s
gnuc,kniu
xole,gul4
sugxairo,gredags
xutos,gut4iuda
xateo,gatwo
kudos,skauns
kai,5ah
teleos,hals
koitos,haims
korudos,haurnja
kleos,hliuma
me,meina
medos,gamot
malakos,mulda
nomos,arbinumja
pleroo,filu
orecis,reiks
oruomai,runa
talanton,4ulan
tonos,uf4anjan
to,6ata
is,inwindi4a
erma,swers
atmos,wods
isos,wi4ra
afesi,win4s
era,wairdus
kushos,hus
komma,skaban
spora,sprauto
aidos,aistan
akonos,ahs
alhaino,al4iza
en,andiz
flauros,blau4jan
profeteia,bannan
mesfa,jabai
adunatos,taujan
ahroos,gadrauhts
eheka,doms
ares,airzjan
eroe,garazno
xromos,gramjan
xrauo,greotingi
epiballo,diabaulus
barutes,asiluqairnus
ginosko,kunnan
genus,kinnus
gallos,gil4a
upozugion,juk
kumbalon,hiuhma
luo,lausjan
latron,unleds
meta,mid
metamorfoo,maurgins
kteis,faihu
pous,fotus
omoios,sums
eros,sarwa
yar,sparwa
asteroeides,stairno
eidullion,weis
elpizo,waila
energos,waurkjan
os,auso
pros,frauja
porizo,faran
koronos,hrisian
anemos,uzanan
anoignumi,au4ida
fales,blotan
didrasko,trudan
tehrene,drunjus
oion,saei
erxomai,faurrinnan
xarme,grana
bios,gaqiujan
karkinos,hardus
kleronomeo,halts
ligden,slaihts
automatos,munan
emmetros,mel
no,une
ilaros,saljan
diastello,andstald
rapto,filhan
krino,hrains
ana,anaks
eautou,auk
fullon,blo4
derma,gataurnan
tuflos,dius
kelufos,hulundi
brotos,maur4r
lenos,wil4eis
ainos,ai4s
endelexes,tulgus
xronos,haldan
mousa,mods
stratiotes,straujan
imation,wasjan
melan,meljan
eireo,waurd
aitas,awiliu4
oule,wilwan
sunorao,daurawards
hesauros,wato
axnumai,afagjan
sunago,andbahts
agrios,akrs
aion,aiw
analkimos,alhs
amf,bi
asson,aggwi4a
ant,gutiskandeis
apo,ufaro
argeios,airknis
aroun,arjan
arkein,arka
arkeuhos,ar5azna
autar,ak
ipnos,auhns
afeco,wahstus
baite,paida
frear,brunna
feidomai,beitan
fatne,gabindi
perho,fotubaurd
purgos,bairgs
brahu,bairhtei
efu,bagms
peuhomai,anabiudan
floos,mili4
fratra,bro4ar
de,du
dike,gateihan
dekatos,fimftaihun
tesserakonta,fidwortigjus
despotes,gatimrjan
damalis,gatamjan
derkomai,gatarhjan
druinos,triu
deukalion,gatiuhan
hos,afdojan
paradeisos,daigs
puhikos,diups
hugater,dauhtar
